tender/value/amount,tender/tenderPeriod/durationInDays,tender/numberOfTenderers,tender/procurementMethod,buyer/name,fiscal_year,tender/status
16400000,90,12,Open Tender,National Health Mission,2016-2017,
3053133,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
10000000,90,8,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
37307,180,0,Open Tender,Department of Water Resources,2016-2017,
62784,180,1,Open Tender,Department of Water Resources,2016-2017,
377936,180,2,Open Tender,Department of Water Resources,2016-2017,
14520000,180,1,Open Tender,Department of Water Resources,2016-2017,
1400542,90,1,Open Tender,Organizing Committee-South Asian Games,2016-2017,
5903885,120,6,Open Tender,Industries and Commerce Department,2016-2017,
63832354,90,4,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
34882120,90,5,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
38370332,90,5,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
49401164,90,5,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
55576310,90,4,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
630519,90,5,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
116797208,180,9,Open Tender,Public Works Building and NH Department,2016-2017,
14477000,180,3,Open Tender,Department of Water Resources,2016-2017,
39560000,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
11834000,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
130196117,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
16955999,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
11713534,60,4,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
18400000,90,17,Open Tender,National Health Mission,2016-2017,
435703950,90,0,Open Tender,Social Welfare Department,2016-2017,
320000000,180,5,Open Tender,National Health Mission,2016-2017,
18000000,90,7,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
17000000,90,7,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
15000000,90,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
0,120,0,Open Tender,Guwahati Metropolitan Development Authority,2016-2017,
24000000,180,5,Open Tender,Public Works Building and NH Department,2016-2017,
6000000,90,7,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
2600000,90,6,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
8000000,90,5,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
40400000,90,2,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
4000000,90,0,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
195260000,120,3,Open Tender,Guwahati Metropolitan Development Authority,2016-2017,
6888137,180,5,Open Tender,Public Works Building and NH Department,2016-2017,
14402000,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
25132914,180,5,Open Tender,Department of Tourism,2016-2017,
326234374,180,1,Open Tender,Department of Tourism,2016-2017,
15087321,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
21980001,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
62074741,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
38822000,120,0,Open Tender,Public Health Engineering Department,2016-2017,
37773000,120,0,Open Tender,Public Health Engineering Department,2016-2017,
24133000,120,0,Open Tender,Public Health Engineering Department,2016-2017,
