amount,risk_score,risk_grade,risk_reasons
16400000,31.28158033463518,Low,['No strong anomaly indicator']
3053133,4.018829834031429,Low,['No strong anomaly indicator']
10000000,16.163021721850914,Low,['No strong anomaly indicator']
37307,16.998715268103506,Low,['Low bidder competition']
62784,11.455971269893311,Low,['Low bidder competition']
377936,8.045016850842359,Low,['No strong anomaly indicator']
14520000,10.706407573004185,Low,['Low bidder competition']
1400542,20.500661354101293,Low,['Low bidder competition']
5903885,14.008562088663354,Low,['No strong anomaly indicator']
63832354,19.163372729723076,Low,['Unusually high contract value']
34882120,16.576944916595224,Low,['No strong anomaly indicator']
38370332,16.88121940751363,Low,['No strong anomaly indicator']
49401164,18.603822307272456,Low,['Unusually high contract value']
55576310,18.671230426923337,Low,['Unusually high contract value']
630519,13.020666617632518,Low,['No strong anomaly indicator']
116797208,32.5392929600776,Low,['Unusually high contract value']
14477000,6.907839805014802,Low,['No strong anomaly indicator']
39560000,26.969293308787286,Low,['No strong anomaly indicator']
11834000,3.343576435836354,Low,['No strong anomaly indicator']
130196117,48.440853414403605,Medium,['Unusually high contract value']
16955999,8.587032884560927,Low,['No strong anomaly indicator']
11713534,14.13292148752998,Low,['No strong anomaly indicator']
18400000,42.04679132719086,Medium,['No strong anomaly indicator']
435703950,53.34519508554853,Medium,"['Low bidder competition', 'Unusually high contract value']"
320000000,37.11235879917986,Low,['Unusually high contract value']
18000000,15.60134980624182,Low,['No strong anomaly indicator']
17000000,15.100298353251677,Low,['No strong anomaly indicator']
15000000,10.478630316541803,Low,['No strong anomaly indicator']
0,23.130393320022392,Low,['Low bidder competition']
24000000,7.807327054101208,Low,['No strong anomaly indicator']
6000000,14.213576615572613,Low,['No strong anomaly indicator']
2600000,13.36322664363274,Low,['No strong anomaly indicator']
8000000,10.987881879171923,Low,['No strong anomaly indicator']
40400000,15.79771175839591,Low,['Unusually high contract value']
4000000,15.889275259470647,Low,['Low bidder competition']
195260000,40.517058220081054,Medium,['Unusually high contract value']
6888137,6.178544127691453,Low,['No strong anomaly indicator']
14402000,3.5024013498752566,Low,['No strong anomaly indicator']
25132914,8.168301483901821,Low,['No strong anomaly indicator']
326234374,40.88200298288416,Medium,"['Low bidder competition', 'Unusually high contract value']"
15087321,3.966799558392168,Low,['No strong anomaly indicator']
21980001,11.319539019141299,Low,['No strong anomaly indicator']
62074741,11.107177443858738,Low,['Unusually high contract value']
38822000,22.460871564081724,Low,['Low bidder competition']
37773000,22.460871564081724,Low,['Low bidder competition']
24133000,20.880873493460616,Low,['Low bidder competition']
15207667,5.972387020619351,Low,['No strong anomaly indicator']
48466033,5.429366668241514,Low,['Unusually high contract value']
0,9.423274647740222,Low,['Low bidder competition']
8000000,12.195269013227044,Low,['No strong anomaly indicator']
21314000,4.4976063794424235,Low,['No strong anomaly indicator']
31061178,24.922284127714732,Low,['Low bidder competition']
24387196,20.86886335571806,Low,['No strong anomaly indicator']
210000000,34.326926020551596,Low,"['Low bidder competition', 'Unusually high contract value']"
17920400,3.8747592129329718,Low,['No strong anomaly indicator']
93377388,13.198076852794323,Low,['Unusually high contract value']
48466033,6.115913588124705,Low,['Unusually high contract value']
99999625,14.79213121128699,Low,['Unusually high contract value']
93377388,13.198076852794323,Low,['Unusually high contract value']
5469000,1.7538854208634191,Low,['No strong anomaly indicator']
500000000,50.89862990515121,Medium,['Unusually high contract value']
8500000,9.732561196530447,Low,['No strong anomaly indicator']
109988000,19.48254284344741,Low,"['Low bidder competition', 'Unusually high contract value']"
0,20.27994525950358,Low,['No strong anomaly indicator']
9100000,3.6797931892434477,Low,['No strong anomaly indicator']
9586384,5.759920021001719,Low,['No strong anomaly indicator']
7205000,2.618922432592946,Low,['No strong anomaly indicator']
5607020,2.383206324265373,Low,['No strong anomaly indicator']
16610000,3.299554522161202,Low,['No strong anomaly indicator']
210000000,29.428599766115603,Low,['Unusually high contract value']
18300000,10.981792781790062,Low,['No strong anomaly indicator']
4650000,9.386767242612947,Low,['No strong anomaly indicator']
16150000,10.442594782574687,Low,['No strong anomaly indicator']
4150000,9.446816030018255,Low,['No strong anomaly indicator']
10500000,15.346064325681958,Low,['Low bidder competition']
12946977,18.842466052773215,Low,['Low bidder competition']
10859920,3.4817775728287685,Low,['No strong anomaly indicator']
1250000,10.97958799971066,Low,['No strong anomaly indicator']
13278155,15.441558530981897,Low,['Low bidder competition']
19509468,15.839935299851085,Low,['No strong anomaly indicator']
12410583,18.52068481219964,Low,['Low bidder competition']
15298241,14.754808160204263,Low,['No strong anomaly indicator']
326234374,48.581379999755825,Medium,['Unusually high contract value']
374901432,51.958104653418395,Medium,['Unusually high contract value']
134284741,35.4862609538676,Low,['Unusually high contract value']
58914407,22.16158276739937,Low,['Unusually high contract value']
2000000,4.089878800799482,Low,['No strong anomaly indicator']
21314000,4.138004557956265,Low,['No strong anomaly indicator']
1500000,5.583994031400053,Low,['No strong anomaly indicator']
20000000,13.92818971336737,Low,['No strong anomaly indicator']
20000000,13.92818971336737,Low,['No strong anomaly indicator']
20000000,15.320433568416437,Low,['Low bidder competition']
20000000,15.320433568416437,Low,['Low bidder competition']
